,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
0,4827000,Fort Worth,8496,471629,29588042200,0.018014159434640364,533003709.54966724
1,4804000,Arlington,2192,211697,12027569500,0.010354421649810815,124538526.02540424
2,4830464,Grand Prairie,1033,102512,5782475800,0.010076869049477135,58269251.41837054
3,4819000,Dallas,936,695667,49043707300,0.0013454713246423935,65986901.82630482
4,4807552,Benbrook,649,12785,1036639400,0.050762612436448966,52622524.098552994
5,4846452,Mansfield,585,38101,2977802900,0.015353927718432588,45720970.48633894
6,4838632,Keller,517,23429,3036907700,0.02206666951214307,67014438.55478254
7,4811428,Burleson,432,24460,1609770100,0.017661488143908423,28430935.535568275
8,4876864,Weatherford,418,15169,1103070900,0.02755620014503263,30396442.494561274
9,4852356,North Richland Hills,404,38466,2800700200,0.010502781677325431,29415142.74424167
10,4864112,Saginaw,345,12132,812331300,0.028437190900098913,23100420.252225522
11,4837000,Irving,314,141231,8648119000,0.00222330791398489,19227431.413783092
12,4878544,White Settlement,298,8857,446252800,0.03364570396296714,15014489.601445183
13,4807132,Bedford,274,27807,1929412900,0.009853633977056136,19011728.507210415
14,4824768,Euless,274,35723,2194538300,0.00767012848864877,16832390.734260842
15,4830644,Grapevine,241,31369,2639458200,0.007682744110427492,20278281.94076955
16,4815988,Colleyville,229,13206,2158520300,0.017340602756322883,37430043.063758895
17,4835576,Hurst,215,20767,1296151200,0.01035296383685655,13419006.500698222
18,4805168,Azle,214,6439,481369900,0.033234974374902936,15998316.291349588
19,4858016,Plano,208,157253,14567206100,0.0013227092646881141,19268178.46909121
20,4831928,Haltom City,191,22954,1086477100,0.008320989805698353,9040564.87322471
21,4817960,Crowley,188,9386,513607500,0.020029831664180694,10287471.766460687
22,4826232,Flower Mound,174,41114,4543316100,0.004232135039159411,19227927.26078708
23,4845744,McKinney,171,99861,8839153500,0.0017123802084898008,15135991.513203353
24,4869032,Southlake,168,13658,3043169400,0.012300483233269878,37432454.18069995
25,4813024,Carrollton,159,79658,5558032400,0.0019960330412513495,11094016.314745536
26,4879492,Willow Park,144,2479,217584500,0.05808793868495361,12639035.094796289
27,4827684,Frisco,142,102512,11134698800,0.0013852036834712035,15423825.792102389
28,4819972,Denton,138,79105,4501793700,0.0017445167814929524,7853454.656469249
29,4876672,Watauga,130,13572,699686500,0.009578544061302681,6701977.969348659
30,4842508,Lewisville,124,65965,3840809500,0.0018797847343288107,7219895.065565072
31,4801744,Aledo,124,2270,206537900,0.05462555066079295,11282246.519823788
32,4813492,Cedar Hill,104,25341,1600813900,0.004104021151493627,6569774.105205004
33,4835254,Hudson Oaks,98,1053,97806400,0.09306742640075974,9102589.933523268
34,4848096,Midlothian,97,18018,1435556300,0.005383505383505384,7728325.06937507
35,4829000,Garland,97,129153,6730746300,0.0007510472075755112,5055108.213514204
36,4801924,Allen,96,56024,4964694100,0.001713551335142082,8507258.203627018
37,4861568,Rendon,95,6935,608121500,0.0136986301369863,8330431.506849315
38,4876816,Waxahachie,79,20578,1261218500,0.0038390514141315966,4841882.665953931
39,4815364,Cleburne,73,13859,786739700,0.005267335305577603,4144021.7981095314
40,4810192,Briar,73,2711,175450600,0.026927333087421616,4724416.746587975
41,4803336,Annetta,72,1610,162104600,0.04472049689440994,7249398.260869565
42,4878076,Westworth Village,66,1284,96926100,0.0514018691588785,4982182.710280374
43,4840744,Lakeside,66,805,62705200,0.08198757763975155,5141047.453416149
44,4861796,Richardson,62,64523,5019248000,0.0009608976643987415,4822983.680238054
45,4816612,Coppell,58,23990,2712065200,0.0024176740308461857,6556889.604001666
46,4843012,Little Elm,58,25639,1776039000,0.0022621787121182573,4017717.6176917977
47,4838080,Joshua,57,3973,240920500,0.01434684117795117,3456448.150012585
48,4856462,Pecan Acres,56,2030,218522600,0.027586206896551724,6028209.655172414
49,4820092,DeSoto,56,31003,1862539600,0.001806276811921427,3364262.0907654096
50,4826544,Forest Hill,55,6132,264022800,0.008969341161121983,2368110.567514677
51,4841056,Lake Worth,54,2760,191046700,0.01956521739130435,3737870.2173913047
52,4872530,The Colony,53,27259,2147370600,0.0019443119703584136,4175158.362375729
53,4847892,Mesquite,50,77151,3754309300,0.0006480797397311766,2433091.7940143356
54,4830416,Granbury,49,4437,415137000,0.01104349785891368,4584564.570655849
55,4862384,River Oaks,49,3654,193109600,0.013409961685823755,2589592.3371647513
56,4861844,Richland Hills,48,5068,291847900,0.009471191791633781,2764147.434885557
57,4838896,Kennedale,48,4822,337657200,0.009954375777685608,3361166.652841145
58,4821628,Duncanville,43,18946,1122048300,0.0022696083606038213,2546610.202681305
59,4825452,Farmers Branch,42,21686,1405389100,0.001936733376371853,2721863.9767591995
60,4865000,San Antonio,41,734718,40997447400,5.5803723333306115e-05,2287810.21208137
